Player,Team,Wins,Losses,Kills,Deaths,Assists,Hero Name,Position,Hero Damage,Damage Taken,Support Gold,Camps Stacked,GPM,XPM,Time Spent Dead,Game ID,Player + Game ID,Season,MVP Score,MVP Points,Captain
Purge the BOBO's,Radiant,1,0,5,17,29,Legion Commander,3,24770,63828,0,0,442,534,11:54:00 AM,9.12 Game 1,Purge the BOBO's - 9.12 Game 1,Season 6,220915477328,0,Purge the BOBO's | Lemon Burtle
Bisket Raw,Radiant,1,0,8,10,34,Witch Doctor,5,33945,36760,1150,2,519,857,4:19:00 AM,9.12 Game 1,Bisket Raw - 9.12 Game 1,Season 6,220918207835,3,Purge the BOBO's | Lemon Burtle
WhiteDeath,Radiant,1,0,10,12,26,Pudge,4,29240,63265,710,0,537,1061,6:15:00 AM,9.12 Game 1,WhiteDeath - 9.12 Game 1,Season 6,220917512004,0,Purge the BOBO's | Lemon Burtle
Jaydos,Radiant,1,0,13,7,15,Juggernaut,1,32186,58283,0,1,723,1062,5:55:00 AM,9.12 Game 1,Jaydos - 9.12 Game 1,Season 6,220917632215,0,Purge the BOBO's | Lemon Burtle
Sanath,Radiant,1,0,17,10,23,Batrider,2,48976,60092,0,2,636,880,5:52:00 AM,9.12 Game 1,Sanath - 9.12 Game 1,Season 6,220917650114,2,Purge the BOBO's | Lemon Burtle
Lemon Burtle,Dire,0,1,12,11,23,Mars,3,36516,78551,50,5,498,654,8:53:00 AM,9.12 Game 1,Lemon Burtle - 9.12 Game 1,Season 6,220916563624,0,Purge the BOBO's | Lemon Burtle
Kulaong Uh Oh!,Dire,0,1,20,14,15,Viper,2,49414,82280,50,0,578,823,1:20:00 PM,9.12 Game 1,Kulaong Uh Oh! - 9.12 Game 1,Season 6,220914962001,0,Purge the BOBO's | Lemon Burtle
Hoodini,Dire,0,1,11,7,24,Wraith King,1,31077,84322,160,1,489,610,6:55:00 AM,9.12 Game 1,Hoodini - 9.12 Game 1,Season 6,220917271521,0,Purge the BOBO's | Lemon Burtle
I'm a potato,Dire,0,1,8,14,31,Rubick,5,30851,61270,1550,1,409,574,9:18:00 AM,9.12 Game 1,I'm a potato - 9.12 Game 1,Season 6,220916413413,0,Purge the BOBO's | Lemon Burtle
Monstah,Dire,0,1,3,9,21,Hoodwink,4,17778,37205,550,0,342,581,6:01:00 AM,9.12 Game 1,Monstah - 9.12 Game 1,Season 6,220917595212,1,Purge the BOBO's | Lemon Burtle
Vlad,Radiant,1,0,12,9,38,Underlord,3,27945,171370,50,,514,740,9:02:00,1.07 Game 1,Vlad - 1.07 Game 1,Season 4,220916509645,0,Vlad | CumSock
Lemon Burtle,Radiant,1,0,14,5,37,Invoker,2,77990,71373,250,,719,1089,5:07:00,1.07 Game 1,Lemon Burtle - 1.07 Game 1,Season 4,220917920711,3,Vlad | CumSock
CRSDWOLF,Radiant,1,0,21,10,33,Spectre,1,93099,148827,160,,667,1078,6:52:00,1.07 Game 1,CRSDWOLF - 1.07 Game 1,Season 4,220917290788,2,Vlad | CumSock
Monstah,Radiant,1,0,5,15,38,Outworld Destroyer,4,32871,84804,600,,389,651,12:06:00,1.07 Game 1,Monstah - 1.07 Game 1,Season 4,220915405480,0,Vlad | CumSock
SPOON ASS,Radiant,1,0,5,15,38,Witch Doctor,5,27490,70414,1650,,380,643,9:51:00,1.07 Game 1,SPOON ASS - 1.07 Game 1,Season 4,220916215420,0,Vlad | CumSock
CumSock,Dire,0,1,22,9,5,Ursa,1,58451,157898,80,,655,950,8:20:00,1.07 Game 1,CumSock - 1.07 Game 1,Season 4,220916762296,0,Vlad | CumSock
Gibson,Dire,0,1,8,15,32,Clockwerk,3,32726,129776,4,,442,675,13:05:00,1.07 Game 1,Gibson - 1.07 Game 1,Season 4,220915051550,0,Vlad | CumSock
I'm a potato,Dire,0,1,8,15,32,Sniper,5,49657,58172,2380,,426,599,6:00:00,1.07 Game 1,I'm a potato - 1.07 Game 1,Season 4,220917601651,1,Vlad | CumSock
Purge the BOBO's,Dire,0,1,2,17,20,Magnus,4,15786,85525,1430,,355,564,15:01:00,1.07 Game 1,Purge the BOBO's - 1.07 Game 1,Season 4,220914355194,0,Vlad | CumSock
ubiquitous,Dire,0,1,16,10,20,Ember Spirit,2,100645,107003,250,,725,1066,8:48:00,1.07 Game 1,ubiquitous - 1.07 Game 1,Season 4,220916594907,0,Vlad | CumSock
Ohh Yeah,Radiant,0,1,9,5,19,Sniper,,,,,,,,,10.05 Game 1,Ohh Yeah - 10.05 Game 1,Season 2,111.2,0,Ohh Yeah | Lemon Burtle
Bad1,Radiant,0,1,3,13,28,Underlord,3,,,,,,,,10.05 Game 1,Bad1 - 10.05 Game 1,Season 2,104.8,0,Ohh Yeah | Lemon Burtle
FRANK SINATRA,Radiant,0,1,17,5,12,Bristleback,1,,,,,,,,10.05 Game 1,FRANK SINATRA - 10.05 Game 1,Season 2,111.6,1,Ohh Yeah | Lemon Burtle
